,release_date,title
3366,1966-12-17,El Dorado
3367,1958-08-28,The Hideous Sun Demon
3368,1991-12-11,Hook
3369,1972-09-30,Horror Express
3370,1986-01-24,My Chauffeur
3371,1926-09-05,The Son of the Sheik
3372,1973-01-04,Torso
3373,1969-06-11,True Grit
3374,1992-03-27,Roadside Prophets
3375,1988-10-14,Madame Sousatzka
3376,1983-03-25,Max Dugan Returns
3377,1978-09-12,Midnight Express
3378,1990-11-28,Misery
3379,1992-09-23,Mr. Saturday Night
3380,1985-12-25,Murphy's Romance
3381,1993-11-12,My Life
3382,1972-03-20,Solaris
3383,1976-11-01,Network
3384,1987-08-14,No Way Out
3385,1979-08-03,North Dallas Forty
3386,1968-02-07,The Odd Couple
3387,1976-06-30,The Outlaw Josey Wales
3388,1999-09-04,Black and White
3389,2000-04-28,Frequency
3390,2000-04-07,Ready to Rumble
3391,2000-04-07,Return to Me
3392,2000-04-07,Rules of Engagement
3393,2000-01-21,Joe Gould's Secret
3394,2000-04-20,Me Myself I
3395,1958-12-25,"Bell, Book and Candle"
3396,1926-07-29,The Bells
3397,1997-09-12,The End of Violence
3398,1978-11-01,Force 10 from Navarone
3399,1965-07-14,How to Stuff a Wild Bikini
3400,1989-09-06,Mystery Train
3401,1971-03-16,Sacco & Vanzetti
3402,1988-02-26,Taffin
3403,1981-07-17,Arthur
3404,1984-06-29,Bachelor Party
3405,1989-07-31,Parenthood
3406,1987-06-11,Predator
3407,1991-12-25,The Prince of Tides
3408,1981-03-20,The Postman Always Rings Twice
3409,1993-12-15,Smoking / No Smoking
3410,1990-09-11,All the Vermeers in New York
3411,1963-01-13,An Actor's Revenge
3412,2000-04-06,28 Days
3413,2000-04-13,American Psycho
3414,2000-04-14,Keeping the Faith
3415,2000-04-14,Where the Money is
3416,1999-05-14,East Is East
3417,2000-03-29,The Filth and the Fury
3418,2000-01-07,Passion of Mind
3419,1999-09-14,Third World Cop
3420,1969-10-26,Coming Apart
3421,1982-04-02,Diner
3422,1991-03-13,Shakes the Clown
3423,1972-02-13,Cabaret
3424,1962-10-31,What Ever Happened to Baby Jane?
3425,1987-04-17,Prick Up Your Ears
3426,1958-12-27,Auntie Mame
3427,1955-11-03,Guys and Dolls
3428,1983-04-29,The Hunger
3429,1976-10-05,Marathon Man
3430,1980-07-25,Caddyshack
3431,2000-04-21,Gossip
3432,2000-04-21,Love & Basketball
3433,2000-04-20,U-571
3434,1999-04-21,The Virgin Suicides
3435,1992-11-06,Jennifer Eight
3436,1959-01-25,The Law
3437,1952-10-31,Limelight
3438,1978-01-01,Empire of Passion
3439,1983-06-01,Stacy's Knights
3440,2000-01-21,Committed
3441,2000-10-31,The Crow: Salvation
3442,2000-04-28,The Flintstones in Viva Rock Vegas
3443,2000-04-27,Where the Heart Is
3444,2000-04-28,The Big Kahuna
3445,2000-01-01,Bossa Nova
3446,1999-09-16,Smiling Fish & Goat On Fire
3447,1998-04-28,The Idiots
3448,2000-04-28,The Last September
3449,2000-03-22,Timecode
3450,1993-05-21,Carnosaur
3451,1995-02-23,Carnosaur 2
3452,1996-11-21,Carnosaur 3: Primal Species
3453,1997-07-09,Defying Gravity
3454,1987-10-30,The Hidden
3455,1988-04-29,Two Moon Junction
3456,2000-05-01,Gladiator
3457,2000-05-05,I Dreamed of Africa
3458,2000-04-14,Up at the Villa
3459,1999-06-04,Human Traffic
3461,1962-02-20,Black Tights
3462,1983-05-13,Breathless
3463,1956-06-08,The Great Locomotive Chase
3464,1980-11-14,The Idolmaker
3465,1980-02-07,Inferno
3466,1972-10-12,The King of Marvin Gardens
3467,1966-12-13,"The Nibelungs, Tale 1: Siegfried"
3468,1974-05-01,The Lords of Flatbush
3469,1983-07-22,Mr. Mom
3470,1982-03-24,Time Masters
3471,2000-05-10,Battlefield Earth
3472,2000-05-12,Center Stage
3473,1999-10-08,Held Up
3474,2000-05-12,Screwed
3475,2000-09-01,Whipped
3476,2000-05-12,Hamlet
3477,1945-07-14,Anchors Aweigh
3478,1961-11-22,Blue Hawaii
3479,1974-08-01,The Castaway Cowboy
3480,1960-11-23,G.I. Blues
3481,1969-07-30,The Gay Deceivers
3482,1962-12-01,Gypsy
3483,1958-07-02,King Creole
3484,1949-12-08,On the Town
3485,1973-06-20,One Little Indian
3486,1985-07-26,Pee-wee's Big Adventure
3487,1999-01-01,Regret to Inform
3488,1964-11-11,Roustabout
3489,1942-08-24,Saludos Amigos
3490,1976-03-24,The Slipper and the Rose
3491,1988-10-21,Things Change
3492,1992-08-28,Honeymoon in Vegas
3493,2000-05-19,Dinosaur
3494,2000-07-21,Loser
3495,2000-05-19,Road Trip
3496,2000-05-19,Small Time Crooks
3497,1980-05-30,The Hollywood Knights
3498,1997-09-17,The Myth Of Fingerprints
3499,1981-05-27,Possession
3500,1970-10-28,The Twelve Chairs
3501,2000-05-24,Mission: Impossible II
3502,2000-05-26,Shanghai Noon
3503,1999-01-01,Better Living Through Circuitry
3504,1999-05-22,8 ½ Women
3505,1962-09-26,Carnival of Souls
3506,1942-10-08,Flying Tigers
3507,1925-06-25,The Gold Rush
3508,1973-05-08,Lisa and the Devil
3509,1997-01-30,It's in the Water
3510,1947-04-11,Monsieur Verdoux
3511,1969-12-12,On Her Majesty's Secret Service
3512,1964-02-12,Seven Days in May
3513,1977-07-07,The Spy Who Loved Me
3514,1998-05-15,Those Who Love Me Can Take the Train
3515,1985-12-04,Vagabond
3516,1979-06-26,Moonraker
3517,1974-12-01,The Man with the Golden Gun
3518,1957-10-25,A King in New York
3519,1923-10-01,A Woman of Paris
3520,1942-05-31,In Old California
3521,1944-01-27,The Fighting Seabees
3522,1940-04-15,Dark Command
3523,1962-04-11,Cléo from 5 to 7
3524,2000-05-31,Big Momma's House
3525,1999-11-11,Running Free
3526,1957-08-26,The Abominable Snowman
3527,1980-02-08,American Gigolo
3528,1987-11-10,Anguish
3529,1972-09-30,The Blood Spattered Bride
3530,1980-08-11,City of the Living Dead
3531,1966-06-15,The Endless Summer
3532,1961-04-27,The Guns of Navarone
3533,1973-05-16,La Grande Bouffe
3534,1947-08-28,Lured
3535,1951-02-15,Pandora and the Flying Dutchman
3536,1967-11-09,Quatermass and the Pit
3537,1957-05-24,Quatermass II
3538,1989-10-12,Puppet Master
3539,1990-11-28,Puppet Master II
3540,1991-10-17,Puppet Master III Toulon's Revenge
3541,1993-11-24,Puppet Master 4
3542,1994-09-21,Puppet Master 5: The Final Chapter
3543,1998-05-26,Curse of the Puppet Master
3544,1999-11-09,Retro Puppet Master
3545,1987-11-28,Rent-a-Cop
3546,1968-04-02,Romeo and Juliet
3547,1992-08-14,Stay Tuned
3548,1945-07-13,The Story of G.I. Joe
3549,1974-02-07,Blazing Saddles
3550,1974-10-17,Benji
3551,1987-06-17,Benji the Hunted
3552,1977-06-10,For the Love of Benji
3553,1954-10-13,White Christmas
3554,1977-03-19,Eraserhead
3555,1992-09-15,Baraka
3556,1955-12-14,The Man with the Golden Arm
3557,1981-07-01,The Decline of Western Civilization
3558,1988-06-17,The Decline of Western Civilization Part II: The Metal Years
3559,1965-12-18,For a Few Dollars More
3560,1973-12-23,Magnum Force
3561,1984-09-07,Blood Simple
3562,1989-10-13,The Fabulous Baker Boys
3563,1985-06-14,Prizzi's Honor
3564,1990-08-09,Flatliners
3565,1987-12-11,Gandahar
3566,1981-11-13,Porky's
3567,1983-06-24,Porky's II: The Next Day
3568,1985-03-22,Porky's 3: Revenge
3569,1983-07-29,Private School
3570,1986-12-12,Class of Nuke 'Em High
3571,1984-05-01,The Toxic Avenger
3572,1989-02-24,The Toxic Avenger Part II
3573,1989-11-24,The Toxic Avenger Part III: The Last Temptation of Toxie
3574,1986-08-21,Night of the Creeps
3575,1990-11-20,Predator 2
3576,1987-11-13,The Running Man
3577,1984-12-13,Starman
3578,1984-09-07,The Brother from Another Planet
3579,1988-10-07,Alien Nation
3580,1979-04-12,Mad Max
3581,1981-12-24,Mad Max 2: The Road Warrior
3582,1985-06-29,Mad Max Beyond Thunderdome
3583,1990-05-18,Bird on a Wire
3584,1987-03-06,Angel Heart
3585,1986-02-14,Nine 1/2 Weeks
3586,1984-05-11,Firestarter
3587,1992-04-10,Sleepwalkers
3588,1988-02-12,Action Jackson
3589,1992-09-18,Sarafina!
3590,1991-05-31,Soapdish
3591,1990-12-21,The Long Walk Home
3592,1988-10-07,Clara's Heart
3593,1987-03-20,Burglar
3594,1987-10-30,Fatal Beauty
3595,2000-06-09,Gone in Sixty Seconds
3596,1999-01-01,American Pimp
3597,2000-03-31,Love's Labour's Lost
3598,1999-09-13,Sunshine
3599,2000-06-28,Trixie
3600,2000-06-02,American Virgin
3601,1990-12-19,Hamlet
3602,1978-02-15,Coming Home
3603,1981-02-13,American Pop
3604,1976-11-05,Assault on Precinct 13
3605,1987-10-02,Near Dark
3606,1992-05-08,One False Move
3607,1971-07-02,Shaft
3608,1974-04-07,The Conversation
3609,1981-03-19,Cutter's Way
3610,1978-03-10,The Fury
3611,1973-10-16,The Paper Chase
3612,1981-08-19,Prince of the City
3613,1973-12-05,Serpico
3614,1951-06-29,Ace in the Hole
3615,1962-05-24,Lonely Are the Brave
3616,1974-04-05,The Sugarland Express
3617,1932-10-21,Trouble in Paradise
3618,1986-05-30,Big Trouble in Little China
3619,1973-10-15,Badlands
3620,1925-12-24,Battleship Potemkin
3621,2000-06-16,Boys and Girls
3622,2000-06-15,Shaft
3623,2000-06-16,Titan A.E.
3624,1999-09-24,Butterfly
3625,1999-09-05,Jesus' Son
3626,1999-08-13,The Match
3627,1999-05-19,Time Regained
3629,2000-06-21,Chicken Run
3630,2000-06-22,"Me, Myself & Irene"
3631,2000-06-28,The Patriot
3632,2000-06-30,The Adventures of Rocky & Bullwinkle
3633,2000-03-15,The Perfect Storm
3634,2000-05-14,The Golden Bowl
3635,1972-11-17,Asylum
3636,1989-11-10,Communion
3637,1947-09-27,Fun & Fancy Free
3638,1977-08-10,The Kentucky Fried Movie
3639,1993-02-05,Bound by Honor
3640,1957-06-28,Daughter of Dr. Jekyll
3641,1986-02-07,F/X
3642,1991-04-16,F/X2
3643,1990-10-12,The Hot Spot
3644,1984-11-16,Missing in Action
3645,1985-03-01,Missing in Action 2: The Beginning
3646,1988-01-22,Braddock: Missing in Action III
3647,1974-05-23,Thunderbolt and Lightfoot
3648,1984-08-15,Dreamscape
3649,1973-12-20,The Golden Voyage of Sinbad
3650,1970-06-02,Hatchet for the Honeymoon
3651,1990-03-09,House Party
3652,1991-10-23,House Party 2
3653,1946-04-26,Make Mine Music
3654,1948-05-27,Melody Time
3655,1987-05-27,Nekromantik
3656,1948-02-03,On Our Merry Way
3657,1953-09-04,Project Moon Base
3658,1950-06-02,Rocketship X-M
3659,1973-06-14,Shaft in Africa
3660,1972-06-08,Shaft's Big Score!
3661,1998-06-25,Croupier
3662,2000-07-07,The Kid
3663,2000-07-07,Scary Movie
3664,1999-09-12,But I'm a Cheerleader
3665,1999-09-13,Shower
3666,1966-12-18,Blow-Up
3667,1965-04-20,The Pawnbroker
3668,2000-06-08,Groove
3669,1984-02-17,Footloose
3670,1946-12-31,Duel in the Sun
3671,2000-07-13,X-Men
3672,2000-01-21,Chuck & Buck
3673,1999-05-18,The Five Senses
3674,1998-11-27,The Wisdom of Crocodiles
3675,2000-07-19,The In Crowd
3676,2000-07-21,What Lies Beneath
3677,1999-07-17,Pokémon: The Movie 2000
3678,1999-08-17,Criminal Lovers
3679,1959-07-01,Anatomy of a Murder
3680,1992-01-17,Freejack
3681,1972-07-31,Greaser's Palace
3682,1979-05-01,H.O.T.S.
3683,1981-04-10,Knightriders
3684,1969-03-18,Mackenna's Gold
3685,1977-07-15,Sinbad and the Eye of the Tiger
3686,1960-12-23,Two Women
3687,1991-05-17,What About Bob?
3688,1992-04-24,White Sands
3689,1980-05-15,Breaker Morant
3690,1972-08-06,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask
3691,1978-08-02,Interiors
3692,1975-06-10,Love and Death
3693,1985-04-03,The Official Story
3694,1996-02-09,The Other Side of Sunday
3695,1941-04-03,Pot o' Gold
3696,1985-11-23,Tampopo
3697,2000-07-26,Thomas and the Magic Railroad
3698,2000-07-27,Nutty Professor II: The Klumps
3699,1999-03-31,The Girl on the Bridge
3700,1999-05-13,Wonderland
3701,2000-08-11,Autumn in New York
3702,2000-07-30,Coyote Ugly
3703,2000-08-04,Hollow Man
3704,2000-07-31,Space Cowboys
3705,1998-11-02,Better Living
3706,2000-04-04,Mad About Mambo
3707,2000-08-06,Psycho Beach Party
3708,2000-01-24,Saving Grace
3709,1963-08-22,Black Sabbath
3710,1962-02-25,The Brain That Wouldn't Die
3711,1980-06-11,Bronco Billy
3712,1993-04-02,The Crush
3713,1970-06-22,Kelly's Heroes
3714,1988-07-08,Phantasm II
3715,1994-05-06,Phantasm III: Lord of the Dead
3716,1998-07-31,Phantasm IV: Oblivion
3717,1988-06-09,Pumpkinhead
3718,1990-08-10,Air America
3719,1983-11-18,Sleepaway Camp
3720,1989-11-15,Steel Magnolias
3721,1956-11-28,...And God Created Woman
3722,1983-08-19,Easy Money
3723,1975-10-01,Ilsa: She Wolf of the SS
3724,1994-10-28,Silent Fall
3725,1946-02-06,The Spiral Staircase
3726,1969-08-20,What Ever Happened to Aunt Alice?
3727,2000-07-01,Margaret Cho: I'm the One That I Want
3728,2000-08-04,The Tao of Steve
3729,2000-06-01,The Tic Code
3730,1999-02-10,Aimee & Jaguar
3731,1999-09-04,An Affair of Love
3732,1999-01-27,The Autumn Heart
3733,2000-08-11,Bless the Child
3734,2000-05-17,Cecil B. Demented
3735,2000-01-25,The Eyes of Tammy Faye
3736,2000-05-17,The Opportunists
3737,2000-08-07,The Replacements
3738,2000-01-28,About Adam
3739,2000-08-17,The Cell
3740,1999-12-11,Godzilla 2000
3741,2000-08-18,The Original Kings of Comedy
3742,2000-08-18,Sunset Strip
3743,1999-09-11,All the Rage
3744,1988-12-02,The Naked Gun: From the Files of Police Squad!
3745,1991-06-28,The Naked Gun 2½: The Smell of Fear
3746,1940-05-24,Our Town
3747,1953-04-23,Shane
3748,1959-12-22,"Suddenly, Last Summer"
3749,1965-06-24,Cat Ballou
3750,1996-01-01,A Couch in New York
3751,1968-07-20,The Devil Rides Out
3752,1998-12-04,Jerry and Tom
3753,1984-11-19,Supergirl
3754,1956-09-21,X: The Unknown
3755,2000-08-23,The Art of War
3756,2000-01-26,The Ballad of Ramblin' Jack
3757,2000-08-25,Phish: Bittersweet Motel
3758,2000-08-25,Bring It On
3759,2000-06-09,Catfish in Black Bean Sauce
3760,2000-08-21,The Crew
3761,2000-01-24,Love & Sex
3762,2000-08-18,Steal This Movie
3763,1998-01-01,Went to Coney Island on a Mission from God... Be Back by Five
3764,2000-06-06,Skipped Parts
3765,2000-09-01,Highlander: Endgame
3766,2000-09-08,Backstage
3767,2000-09-06,Turn It Up
3768,2000-02-03,Anatomy
3769,2000-09-08,Nurse Betty
3770,1999-03-05,Alone
3771,2000-09-08,The Watcher
3772,2000-09-08,The Way of the Gun
3773,2000-09-15,Almost Famous
3774,2000-09-14,Bait
3775,2000-05-05,Circus
3776,2000-01-01,Crime + Punishment in Suburbia
3777,2000-09-09,Duets
3778,1999-09-04,Goya in Bordeaux
3779,2000-01-24,Urbania
3780,1999-06-01,Uninvited Guest
3781,2000-09-22,The Specials
3782,2000-09-24,Under Suspicion
3783,2000-09-22,Prince of Central Park
3784,2000-09-19,Urban Legends: Final Cut
3785,2000-09-22,Woman on Top
3786,2000-05-17,Dancer in the Dark
3787,2000-09-19,Best in Show
3788,2000-09-10,Beautiful
3789,1999-01-01,Barenaked in America
3790,2000-02-01,The Broken Hearts Club: A Romantic Comedy
3791,2000-05-01,Girlfight
3792,2000-09-29,Remember the Titans
3793,1987-09-11,Hellraiser
3794,1988-12-23,Hellbound: Hellraiser II
3795,1992-09-11,Hellraiser III: Hell on Earth
3796,1993-09-09,"Faraway, So Close!"
3797,1963-08-07,Beach Party
3798,1964-07-22,Bikini Beach
3799,1959-07-01,Return of the Fly
3800,1964-11-11,Pajama Party
3801,1984-10-01,Stranger Than Paradise
3802,1961-07-12,Voyage to the Bottom of the Sea
3803,1966-08-24,Fantastic Voyage
3804,1948-06-15,Abbott and Costello Meet Frankenstein
3805,1940-11-29,The Bank Dick
3806,1954-03-05,Creature from the Black Lagoon
3807,1959-06-25,The Giant Gila Monster
3808,1933-11-13,The Invisible Man
3809,1959-06-25,The Killer Shrews
3810,1957-03-31,Kronos
3811,1943-08-27,Phantom of the Opera
3812,1984-12-14,Runaway
3813,1982-11-12,The Slumber Party Massacre
3814,1987-10-30,Slumber Party Massacre II
3815,1990-09-07,Slumber Party Massacre III
3816,1986-10-01,Sorority House Massacre
3817,1990-10-05,Sorority House Massacre II
3818,2000-10-06,Bamboozled
3819,2000-10-05,Bootmen
3820,2000-03-17,Digimon: The Movie
3821,2000-10-06,Get Carter
3822,1971-03-03,Get Carter
3823,2000-10-06,Meet the Parents
3824,2000-10-27,Requiem for a Dream
3825,2000-09-22,Tigerland
3826,2000-01-21,Two Family House
3827,2000-10-13,The Contender
3828,2000-09-13,Dr. T and the Women
3829,1999-10-21,Just Looking
3830,2000-10-13,The Ladies Man
3831,2000-10-13,Lost Souls
3832,1971-08-02,Billy Jack
3833,1977-04-16,Billy Jack Goes to Washington
3834,1960-08-17,The Time Machine
3835,1995-10-27,Haunted
3836,1984-11-08,Ghoulies
3837,1987-09-18,Ghoulies II
3838,1964-06-11,The Unsinkable Molly Brown
3839,1949-10-05,The Adventures of Ichabod and Mr. Toad
3840,1946-07-24,The Strange Love of Martha Ivers
3841,1945-11-30,Detour
3842,2000-05-18,Billy Elliot
3843,2000-10-19,Bedazzled
3844,2000-10-12,Pay It Forward
3845,1981-04-22,The Beyond
3846,1980-04-17,The Private Eyes
3847,1994-02-03,The Legend of Drunken Master
3848,2000-10-27,Book of Shadows: Blair Witch 2
3849,2000-10-27,The Little Vampire
3850,2000-10-27,Lucky Numbers
3851,2000-10-13,Stardom
3852,2000-11-02,Charlie's Angels
3853,2000-11-02,The Legend of Bagger Vance
3854,2000-11-10,Little Nicky
3855,2000-09-13,Men of Honor
3856,2000-11-10,Red Planet
3857,2000-01-20,What's Cooking?
3858,2000-11-17,You Can Count on Me
3859,1971-12-13,Diamonds Are Forever
3860,1976-12-24,The Eagle Has Landed
3861,2000-11-17,The 6th Day
3862,2000-11-15,Bounce
3863,2000-11-17,How the Grinch Stole Christmas
3864,1999-10-22,One Day in September
3865,2000-09-14,Rugrats in Paris: The Movie
3866,2000-10-07,102 Dalmatians
3867,2000-10-27,Malena
3868,2000-11-22,Quills
3869,2000-11-13,Unbreakable
3870,2000-11-16,Boys Life 3
3871,2000-10-01,"Crouching Tiger, Hidden Dragon"
3872,2000-12-08,Dungeons & Dragons
3873,2000-12-08,Proof of Life
3874,2000-12-08,Vertical Limit
3875,1984-05-04,The Bounty
3876,1985-05-03,Code of Silence
3877,1987-11-26,"Planes, Trains and Automobiles"
3878,1988-02-05,She's Having a Baby
3879,1997-03-19,Secrets of the Heart
3880,1987-06-29,The Living Daylights
3881,1986-08-08,The Transformers: The Movie
3882,1987-12-10,Wall Street
3883,1989-12-20,Born on the Fourth of July
3884,1988-12-21,Talk Radio
3885,1985-05-22,Brewster's Millions
3886,2000-09-01,Snatch
3887,1988-10-07,Punchline
3888,2000-03-24,Mr Accident
3889,2000-12-14,Chocolat
3890,2000-12-15,"Dude, Where’s My Car?"
3891,2000-12-09,The Emperor's New Groove
3892,2000-09-06,Pollock
3893,2000-12-15,What Women Want
3894,2000-12-21,Finding Forrester
3895,2000-12-22,The Gift
3896,2000-09-03,Before Night Falls
3897,2000-12-22,Cast Away
3898,2000-12-12,The Family Man
3899,2000-09-23,The House of Mirth
3900,2000-12-14,Miss Congeniality
3901,1999-01-01,Nowhere to Hide
3902,2000-08-30,"O Brother, Where Art Thou?"
3903,2001-03-01,Songcatcher
3904,2000-08-26,State and Main
3905,2000-12-22,Dracula 2000
3906,2000-12-11,All the Pretty Horses
3907,2000-12-22,An Everlasting Piece
3908,2000-12-24,Thirteen Days
3909,2000-12-27,Traffic
3910,2000-12-29,The Claim
3911,2000-05-15,Shadow of the Vampire
3912,1987-10-11,House of Games
3913,1989-10-27,Kill Me Again
3914,1982-06-18,Annie
3915,1991-06-07,Don't Tell Mom the Babysitter's Dead
3916,1982-07-28,An Officer and a Gentleman
3917,1960-10-23,The Alamo
3918,1986-04-18,At Close Range
3919,1977-04-01,Breaker! Breaker!
3920,1975-12-25,Breakheart Pass
3921,1956-11-25,Friendly Persuasion
3922,1993-10-08,Gettysburg
3923,1994-10-14,Imaginary Crimes
3924,1975-01-01,Rancho Deluxe
3925,2000-04-15,The St  Francisville Experiment
3926,2001-01-12,Antitrust
3927,2001-01-12,Double Take
3928,2001-01-12,Save the Last Dance
3929,2000-12-01,Panic
3930,2001-01-09,The Pledge
3931,2001-12-07,Kids World
3932,1998-03-13,The Personals
3933,2001-01-09,The Amati Girls
3934,1992-12-11,Love Field
3935,1991-09-30,The Man in the Moon
3936,1988-10-13,Mystic Pizza
3937,1992-07-10,Prelude to a Kiss
3938,1973-06-13,Coffy
3939,1974-04-05,Foxy Brown
3940,1988-11-10,I'm Gonna Git You Sucka
3941,1993-02-12,Untamed Heart
3942,2001-01-24,Sugar & Spice
3943,2001-01-26,The Wedding Planner
3944,1997-09-12,Amy
3945,2001-04-04,Dog Run
3946,2000-09-15,Faithless
3947,2001-02-23,The Invisible Circus
3948,2000-09-14,The Legend of Rita
3949,1999-06-02,A Monkey's Tale
3950,2000-12-01,Two Ninas
3951,2000-08-15,"Harry, He's Here To Help"
3952,1987-05-22,Amazing Grace and Chuck
3953,1987-09-18,Amazon Women on the Moon
3954,1987-09-17,Baby Boom
3955,1987-08-07,Back to the Beach
3956,1987-09-02,Barfly
3957,1987-09-25,Best Seller
3958,1987-05-18,Beverly Hills Cop II
3959,1984-11-29,Beverly Hills Cop
3960,1986-11-27,The Big Easy
3961,1987-10-02,Big Shots
3962,1987-09-25,The Big Town
3963,1987-08-21,Born in East L.A.
3964,1987-07-09,The Brave Little Toaster
3965,1987-08-14,Can't Buy Me Love
3966,1987-11-12,Cherry 2000
3967,1988-01-01,Cop
3968,1987-01-16,Critical Condition
3969,1987-11-05,Cry Freedom
3970,1987-01-01,Curse
3971,1987-02-06,Dead of Winter
3972,1987-09-03,The Dead
3973,1987-02-20,Death Before Dishonor
3974,1987-07-14,Disorderlies
3975,1986-12-18,Dogs in Space
3976,1987-11-25,Eddie Murphy Raw
3977,1987-12-09,Empire of the Sun
3978,1987-05-22,Ernest Goes to Camp
3979,1981-10-15,The Evil Dead
3980,1987-04-24,Extreme Prejudice
3981,1987-10-02,Family Viewing
3982,1987-09-11,Five Corners
3983,1987-11-20,Flowers in the Attic
3984,1987-08-28,The Fourth Protocol
3985,1987-05-05,Gardens of Stone
3986,1987-01-01,Julia and Julia
3987,1987-10-23,The Glass Menagerie
3988,1987-05-13,"Good Morning, Babylon"
3989,1987-11-06,Hiding Out
3990,1987-03-20,Hollywood Shuffle
3991,1987-09-03,Hope and Glory
3992,1987-05-08,Hot Pursuit
3993,1987-11-25,Housekeeping
